序,时间,区,目的港,国家,中文,代,船,20G,E1,40G,E2,40H,E3,AE,20'GP(标准报价),40'GP(标准报价),40'HQ(标准报价),EBS,AE1,船期,港,中转港,中转,航程,起,止,内部备注,限重,快捷报价,,,
1,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",M,CMA,875,55,1550,110,1550,110,,900,1600,1600,55/110,,周四,外港,DIR,直达,25,7-15,7-31,ASEA2 14days(domestic)21days (transit cargo),,Mombasa CMA USD875/1550 + EBS55/110，周四外港直达25天，价格到7月31日已过期，紧供参考。,,,
2,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",E,COSCO,950,60,1650,120,1650,120,,950,1650,1650,60/120,,周三/周四,外港,DIR,直达,23,7-15,7-31,"11/23日EAX1航线(MOMBASA)不接受小重柜订舱（含箱重15吨以上）
",20'GP≧18T以上单票确认,Mombasa COSCO USD950/1650 + EBS60/120，周三/周四外港直达23天，价格到7月31日已过期，紧供参考。,,,
3,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",C,EMC,900,,1650,,1650,,,950,1750,1750,,,周四,外港,DIR,直达,30,7-15,7-31,AEF,,Mombasa EMC USD900/1650，周四外港直达30天，价格到7月31日已过期，紧供参考。,,,
4,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",F,EMI,917,,1467,,1467,,,942,1517,1517,,,周四,外港,PKG,巴生,32,7-14,7-31,,,Mombasa EMI USD917/1467，周四外港巴生转32天，价格到7月31日已过期，紧供参考。,,,
5,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",B,MSC,981,,1406,,1406,,,1006,1456,1456,,,周五,洋山,DURBAN,德班,38,7-15,7-31,另加ENS USD25/BILL,,Mombasa MSC USD981/1406，周五洋山德班转38天，价格到7月31日已过期，紧供参考。,,,
6,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",K,PIL,934,,1709,,1709,,,1259,2209,2209,,,周三,外港,DIR,直达,22,7-11,7-31,,,Mombasa PIL USD934/1709，周三外港直达22天，价格到7月31日已过期，紧供参考。,,,
7,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",P,OOCL,825,55,1400,110,1400,110,,850,1450,1450,55/110,,周二,外港,COLOMBO,科隆坡,25,7-01,7-31,,"小箱≥21TONS+超重费100
",Mombasa OOCL USD825/1400 + EBS55/110，周二外港科隆坡转25天，价格到7月31日已过期，紧供参考。,,,
8,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",N,HPL,975,55,1350,110,1350,110,,975,1350,1350,55/110,,周一,洋山,JEDDAH, 捷达,33,7-15,7-31,,,Mombasa HPL USD975/1350 + EBS55/110，周一洋山捷达转33天，价格到7月31日已过期，紧供参考。,,,
9,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",A,MSK,900,60,1600,120,1600,120,,925,1650,1650,60/120,,周五,洋山,SIN,新加坡,23,7-20,7-31,,,Mombasa MSK USD900/1600 + EBS60/120，周五洋山新加坡转23天，价格到7月31日已过期，紧供参考。,,,
10,71817,东,MOMBASA ,Kenya,"蒙巴萨,肯尼亚",O,BLINE,975,50,,100,,100,,1000,,,50/100,,周四,外港,DIR,直达,30,7-02,7-31,,,Mombasa BLINE USD975/ + EBS50/100，周四外港直达30天，价格到7月31日已过期，紧供参考。,,,
